iso,countryName,href
AFG,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/2/2a/Afghanistan_Flag.svg
ALB,Albania,https://upload.wikimedia.org/wikipedia/commons/e/e9/Flag_of_Albania_%283-2%29.svg
DZA,Algeria,https://upload.wikimedia.org/wikipedia/commons/8/85/Algeria_Flag.svg
ASM,American Samoa,https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg
AND,Andorra,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
AGO,Angola,https://upload.wikimedia.org/wikipedia/commons/6/64/Angola_Flag.svg
AIA,Anguilla,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg
ATG,Antigua and Barbuda,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg
ARG,Argentina,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Argentina_%289-14%29.svg
ARM,Armenia,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Armenia_%283-2%29.svg
ABW,Aruba,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Aruba.svg
AUS,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%283-2_aspect_ratio%29.svg
AUT,Austria,https://commons.wikimedia.org/wiki/File:Flag_of_Austria.svg
AZE,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_Azerbaijan_%283-2%29.svg
BHS,Bahamas,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_the_Bahamas_%283-2%29.svg
BHR,Bahrain,https://upload.wikimedia.org/wikipedia/commons/6/6b/Flag_of_Bahrain_%283-2%29.svg
BGD,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/7/75/Flag_of_Bangladesh_%283-2%29.svg
BRB,Barbados,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg
BLR,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg
BEL,Belgium,https://upload.wikimedia.org/wikipedia/commons/3/39/Belgium_Flag.svg
BLZ,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg
BEN,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg
BMU,Bermuda,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg
BTN,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg
BOL,Bolivia,https://upload.wikimedia.org/wikipedia/commons/a/ad/Flag_of_Bolivia_%283-2%29.svg
BIH,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Bosnia_and_Herzegovina_%283-2%29.svg
BWA,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg
BRA,Brazil,https://upload.wikimedia.org/wikipedia/commons/a/a2/Flag_of_Brazil_%283-2%29.svg
VGB,British Virgin Islands,https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg
