ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
AFG,Afghanistan,652,191,22,2534,10,8,0,3417,
ALB,Albania,2537,169,160,3542,1500,6,13,7914,
DZA,Algeria,561,39,99,242,355,4,0,1300,
ASM,American Samoa,dw,dw,0,0,0,0,0,28,
AGO,Angola,104,dw,32,115,dw,1,0,272,
AIA,Anguilla,19,13,0,0,0,0,0,32,
ATG,Antigua and Barbuda,346,196,23,0,3,2,0,570,
ARG,Argentina,4449,259,2050,486,54,29,0,7327,
ARM,Armenia,976,137,133,4585,435,51,44,6317,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,110,15,7,0,0,1,0,151,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 66% of the displayed Aruban data."
AUS,Australia,2009,67,892,6,259,16,0,3249,
AUT,Austria,316,16,142,20,27,3,0,524,
AZE,Azerbaijan,382,21,24,1761,111,72,10,2371,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,661,73,51,7,11,44,0,847,
BHR,Bahrain,31,13,97,7,0,0,0,148,
BGD,Bangladesh,6036,3384,1060,981,3093,90,20,14644,
BRB,Barbados,598,241,dw,0,dw,6,0,959,
BLR,Belarus,963,51,155,1202,425,290,0,3086,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,388,12,276,22,16,2,0,716,
BLZ,Belize,883,257,81,5,0,26,10,1252,
BEN,Benin,111,dw,dw,35,108,1,0,275,
BMU,Bermuda,125,22,13,0,0,0,0,160,
BTN,Bhutan,13,0,4,58,3,0,0,78,
BOL,Bolivia,2001,334,1512,86,54,38,0,4025,
BIH,Bosnia and Herzegovina,907,33,59,2744,46,0,0,3789,
BWA,Botswana,40,dw,4,dw,4,1,0,53,
BRA,Brazil,11399,464,5553,235,191,68,75,17910,
VGB,British Virgin Islands,31,11,4,0,0,1,0,47,
BRN,Brunei,7,5,9,dw,dw,0,0,25,
BGR,Bulgaria,2265,106,436,360,1631,30,29,4828,
BFA,Burkina Faso,144,3,13,32,26,4,0,222,
MMR,Burma,573,353,153,3041,442,0,0,4562,
BDI,Burundi,13,0,3,286,18,0,0,320,
KHM,Cambodia,4235,809,73,426,46,184,0,5773,
CMR,Cameroon,993,95,111,1114,604,3,17,2920,
CAN,Canada,10762,714,6382,63,53,233,0,18207,
CPV,Cape Verde,1051,702,10,3,0,14,0,1780,
CYM,Cayman Islands,49,6,7,3,0,0,0,65,
CAF,Central African Republic,11,dw,3,33,dw,0,0,51,
TCD,Chad,18,0,dw,49,dw,0,0,73,
CHL,Chile,1871,191,522,153,20,17,0,2774,
CHN,China,33773,16573,9484,27454,20,41,6520,87345,
COL,Colombia,23330,3828,3242,12591,9,151,349,43151,
COD,Congo (Kinshasa),35,8,24,631,39,1,0,738,
COG,Congo (Brazzaville),216,27,41,1059,251,6,0,1600,
CRI,Costa Rica,2376,222,363,116,12,20,0,3109,
CIV,Cote d'Ivoire,727,50,67,1108,93,22,0,2067,
HRV,Croatia,390,18,109,407,19,2,0,945,
CUB,Cuba,2792,1447,18,40985,314,58,0,45614,
CYP,Cyprus,100,9,61,0,10,0,0,180,
CZE,Czechia,1414,35,270,19,45,3,0,1786,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 80.5% of the displayed Czech data."
DNK,Denmark,394,12,275,3,14,1,0,699,
DJI,Djibouti,17,0,0,dw,dw,0,0,34,
DMA,Dominica,366,dw,dw,dw,0,1,0,471,
DOM,Dominican Republic,19957,17563,385,dw,dw,56,20,38069,
ECU,Ecuador,9961,3095,3990,234,134,76,32,17490,
EGY,Egypt,2754,805,729,2451,3727,34,0,10500,
SLV,El Salvador,7519,6003,1964,dw,dw,15418,19,31783,
GNQ,Equatorial Guinea,6,dw,dw,3,0,0,0,13,
ERI,Eritrea,466,51,16,920,140,0,0,1593,
