ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
AFG,Afghanistan,754,171,34,501,36,152,0,1648,
ALB,Albania,1884,293,94,415,913,13,0,3612,
DZA,Algeria,419,60,48,36,792,9,0,1364,
AGO,Angola,91,17,7,22,10,1,0,148,
AIA,Anguilla,10,9,6,0,0,0,0,25,
ATG,Antigua and Barbuda,221,129,14,dw,dw,2,0,368,
ARG,Argentina,2675,215,1210,258,53,62,0,4473,
ARM,Armenia,905,219,117,767,954,21,22,2983,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,93,9,15,0,4,0,0,125,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 69% of the displayed Aruban data."
AUS,Australia,1454,58,564,4,254,9,0,2343,
AUT,Austria,205,20,139,6,51,3,0,424,
AZE,Azerbaijan,276,56,45,133,208,10,0,728,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,517,81,49,6,3,12,0,668,
BHR,Bahrain,50,30,33,dw,dw,1,0,119,
BGD,Bangladesh,4988,7821,648,117,3049,84,0,16707,
BRB,Barbados,272,116,52,dw,dw,6,0,455,
BLR,Belarus,671,72,197,356,622,46,0,1964,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,284,21,197,14,42,9,0,567,
BLZ,Belize,591,247,37,7,8,15,0,905,
BEN,Benin,171,14,16,23,236,2,0,462,
BMU,Bermuda,60,3,7,0,0,1,0,71,
BTN,Bhutan,10,0,dw,10119,dw,3,0,10137,
BOL,Bolivia,1294,373,320,105,45,36,0,2173,
BIH,Bosnia and Herzegovina,521,23,41,251,40,2,0,878,
BWA,Botswana,51,7,9,3,6,0,0,76,
BRA,Brazil,8417,516,2386,330,12,102,0,11763,
VGB,British Virgin Islands,18,19,0,0,0,0,0,37,
BRN,Brunei,dw,dw,11,0,0,0,0,25,
BGR,Bulgaria,1476,119,335,87,623,21,76,2661,
BFA,Burkina Faso,216,10,27,77,90,13,0,433,
MMR,Burma,699,634,76,14833,275,1,0,16518,
BDI,Burundi,33,dw,dw,536,17,0,0,593,
KHM,Cambodia,1993,456,49,62,176,9,0,2745,
CMR,Cameroon,1131,210,68,1653,1683,9,25,4754,
CAN,Canada,6582,637,5157,41,83,300,0,12800,
CPV,Cabo Verde,905,886,9,dw,dw,3,0,1808,
CYM,Cayman Islands,28,8,dw,dw,0,2,0,41,
CAF,Central African Republic,23,dw,dw,99,7,0,0,134,
TCD,Chad,38,dw,dw,120,7,0,0,171,
CHL,Chile,1228,180,335,59,16,35,0,1853,
CHN,China,24374,17840,17544,27097,25,136,2607,87016,
COL,Colombia,14024,4731,1830,1920,8,122,218,22635,
COD,Democratic Republic of the Congo,192,39,23,1446,721,3,83,2424,
COG,Republic of the Congo,218,30,14,651,455,3,46,1371,
CRI,Costa Rica,1645,237,161,62,11,19,0,2135,
CIV,Cote d'Ivoire,508,60,43,437,194,60,0,1302,
HRV,Croatia,223,13,64,20,25,4,0,349,
CUB,Cuba,2404,680,8,33129,208,23,0,36452,
CYP,Cyprus,54,dw,37,dw,5,0,0,101,
CZE,Czechia,547,16,154,7,39,6,0,769,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 60.5% of the displayed Czech data."
DNK,Denmark,240,7,191,0,17,4,0,459,
DJI,Djibouti,26,0,3,13,14,0,0,56,
DMA,Dominica,200,82,dw,0,dw,1,0,287,
DOM,Dominican Republic,21063,24539,333,85,10,79,0,46109,
ECU,Ecuador,5743,3960,1076,146,0,178,0,11103,
EGY,Egypt,2771,765,651,746,2822,23,0,7778,
SLV,El Salvador,7359,8159,572,431,0,2146,10,18667,
GNQ,Equatorial Guinea,8,0,0,dw,dw,0,0,13,
ERI,Eritrea,344,97,25,1346,290,0,0,2102,
EST,Estonia,137,10,18,10,15,1,0,191,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,5496,1202,174,3352,3546,23,1734,13793,
FJI,Fiji,424,370,26,45,172,4,0,1041,
FIN,Finland,154,5,159,0,42,3,0,363,
FRA,France,1790,139,1409,27,262,26,0,3653,
PYF,French Polynesia,15,3,3,0,0,0,0,21,
GAB,Gabon,85,7,4,95,13,0,0,204,
GMB,Gambia,600,74,24,210,17,47,0,972,
