ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote,
AFG,Afghanistan,1011,272,16,691,50,6288,0,8328,,
ALB,Albania,2017,614,81,152,1770,19,0,4653,,
DZA,Algeria,570,103,40,19,1035,8,0,1775,,
AGO,Angola,89,8,12,39,6,0,0,154,,
AIA,Anguilla,18,dw,dw,0,0,1,0,22,,
ATG,Antigua and Barbuda,176,97,12,0,dw,dw,0,290,,
ARG,Argentina,2194,194,1095,133,48,66,0,3730,,
ARM,Armenia,1035,247,120,225,1324,11,18,2962,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
ABW,Aruba,45,4,11,0,0,0,0,60,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 36.5% of the displayed Aruban data.",
AUS,Australia,1636,68,930,dw,390,dw,0,3034,,
AUT,Austria,247,17,166,5,39,0,0,474,,
AZE,Azerbaijan,291,70,34,49,229,3,0,676,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
BHS,Bahamas,562,53,84,14,6,6,0,725,,
BHR,Bahrain,47,24,60,dw,dw,0,0,145,,
BGD,Bangladesh,5667,7044,653,167,0,39,11,13570,,
BRB,Barbados,235,97,28,0,9,7,0,376,,
BLR,Belarus,695,86,236,199,772,6,0,1994,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
BEL,Belgium,298,14,303,dw,40,dw,0,662,,
BLZ,Belize,537,182,35,5,0,13,0,772,,
BEN,Benin,233,19,11,19,180,4,0,466,,
BMU,Bermuda,77,19,13,dw,0,dw,0,112,,
BTN,Bhutan,28,dw,4,6290,dw,0,0,6325,,
BOL,Bolivia,1038,248,220,43,17,60,0,1626,,
BIH,Bosnia and Herzegovina,602,dw,66,64,69,dw,0,859,,
BWA,Botswana,28,3,6,18,6,0,0,61,,
BRA,Brazil,7903,452,2725,116,21,207,0,11424,,
VGB,British Virgin Islands,24,10,dw,0,0,dw,0,38,,
BRN,Brunei,10,3,8,0,0,0,0,21,,
BGR,Bulgaria,1379,130,301,45,819,14,184,2688,,
BFA,Burkina Faso,274,33,15,152,98,3,0,575,,
MMR,Burma,688,486,dw,11443,134,dw,0,12808,,
BDI,Burundi,60,9,8,234,40,0,10,351,,
KHM,Cambodia,1224,336,60,51,190,7,0,1868,,
CMR,Cameroon,1557,425,91,825,1470,6,12,4374,,
CAN,Canada,6237,534,5551,44,68,239,0,12673,,
CPV,Cabo Verde,658,578,4,3,7,3,0,1253,,
CYM,Cayman Islands,39,5,6,dw,dw,0,0,53,,
CAF,Central African Republic,19,dw,6,205,dw,0,0,234,,
TCD,Chad,29,dw,dw,129,10,1,0,175,,
CHL,Chile,1061,112,333,40,14,36,0,1596,,
CHN,China,27659,14384,22531,9727,24,233,2343,74558,,
COL,Colombia,11870,3211,1292,785,12,146,144,17316,,
COD,Democratic Republic of the Congo,490,172,38,2043,2596,6,129,5345,,
COG,Republic of the Congo,87,20,3,313,68,5,0,496,,
CRI,Costa Rica,1589,155,212,27,9,37,15,2029,,
CIV,Cote d'Ivoire,584,107,62,305,397,42,0,1497,,
HRV,Croatia,235,15,58,13,27,0,0,348,,
CUB,Cuba,3882,2211,9,47803,428,63,0,54396,,
CUW,Curacao,12,4,6,0,0,0,0,22,"Does not include data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. See Aruba for inclusion of this data.",
CYP,Cyprus,61,dw,39,dw,7,0,0,113,,
CZE,Czechia,495,18,123,8,41,5,0,695,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 8.5% of the displayed Czech data.",
DNK,Denmark,284,6,290,dw,24,dw,0,609,,
DJI,Djibouti,34,dw,dw,319,12,0,0,370,,
DMA,Dominica,dw,123,dw,0,0,0,0,229,,
DOM,Dominican Republic,23554,26432,369,dw,dw,147,10,50610,,
ECU,Ecuador,5675,3100,641,dw,dw,585,0,10187,,
EGY,Egypt,3334,903,746,4194,2890,18,0,12085,,
SLV,El Salvador,9446,6845,1327,366,3,1500,0,19487,,
GNQ,Equatorial Guinea,13,dw,0,8,dw,0,0,25,,
ERI,Eritrea,511,155,dw,1352,178,dw,0,2220,,
EST,Estonia,131,8,25,3,19,3,0,189,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
ETH,Ethiopia,3350,1544,170,3808,2507,15,322,11394,,
FJI,Fiji,339,309,17,34,169,7,0,875,,
FIN,Finland,177,5,209,0,16,0,0,407,,
FRA,France,2085,122,2121,41,314,10,0,4693,,
PYF,French Polynesia,dw,0,dw,0,0,0,0,14,,
GAB,Gabon,92,dw,9,21,15,dw,0,146,,
GMB,Gambia,732,89,30,242,9,40,0,1142,,
GEO,Georgia,734,111,63,68,431,3,0,1410,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
DEU,Germany,3026,142,1724,59,458,27,0,5436,,
GHA,Ghana,4346,886,337,88,508,21,78,6186,,
GRC,Greece,715,65,309,dw,113,dw,0,1211,,
GRD,Grenada,360,122,23,dw,dw,14,0,525,,
GTM,Guatemala,5196,2647,1608,667,25,1630,13,11773,,
GIN,Guinea,455,97,14,481,306,36,0,1389,,
GNB,Guinea-Bissau,28,dw,dw,6,dw,0,0,39,,
GUY,Guyana,2007,3423,59,16,11,27,27,5543,,
HTI,Haiti,8475,7002,114,1240,3,133,137,16967,,
HND,Honduras,5081,1982,1188,284,28,711,24,9274,,
HKG,Hong Kong,636,705,675,19,38,12,17,2085,,
HUN,Hungary,676,31,256,14,114,4,18,1095,,
ISL,Iceland,42,dw,43,0,dw,0,0,104,,
IND,India,20558,14591,27514,978,53,422,136,64116,,
IDN,Indonesia,1193,134,467,187,57,46,0,2084,,
IRN,Iran,3232,2250,1485,3756,2377,14,0,13114,,
IRQ,Iraq,866,209,68,18973,37,954,0,21107,,
IRL,Ireland,881,24,651,dw,45,dw,0,1607,,
ISR,Israel,2013,155,1640,39,98,20,0,3965,,
ITA,Italy,1889,102,1125,147,269,12,0,3544,,
JAM,Jamaica,11437,5440,622,63,0,80,43,17642,,
JPN,Japan,3092,139,1957,14,178,15,17,5395,,
JOR,Jordan,2519,1172,281,581,101,10,0,4664,,
KAZ,Kazakhstan,561,45,117,123,351,4,0,1201,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
KEN,Kenya,2569,419,360,1173,1046,35,0,5602,,
PRK,North Korea,26,dw,10,12,0,dw,0,55,,
KOR,South Korea,6465,949,9645,7,7,65,320,17138,,
