ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,total,countryNote
,,565426,237629,137761,157278,49763,33425,1181729,
AFG,Afghanistan,1081,400,42,686,127,10177,12513,
ALB,Albania,2918,889,75,155,1730,6,5773,
DZA,Algeria,674,169,62,21,1253,1,2180,
AGO,Angola,85,20,30,32,30,1,198,
AIA,Anguilla,15,4,0,0,0,1,20,
ATG,Antigua and Barbuda,217,91,15,0,0,1,324,
ARG,Argentina,2341,195,1343,101,31,80,4091,
ARM,Armenia,1589,304,102,256,1286,6,3543,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,13,dw,dw,0,0,0,41,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 43.9% of the displayed Aruban data."
AUS,Australia,1773,67,1006,dw,388,dw,3239,
AUT,Austria,233,15,149,5,27,3,432,
AZE,Azerbaijan,354,54,56,87,232,1,784,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,532,52,60,5,5,2,656,
BHR,Bahrain,36,28,62,7,5,0,138,
BGD,Bangladesh,7841,9899,653,289,dw,dw,18723,
BRB,Barbados,245,80,42,0,0,4,371,
BLR,Belarus,751,109,285,188,792,2,2127,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,323,19,308,9,32,0,691,
BLZ,Belize,586,183,46,dw,dw,24,851,
BEN,Benin,267,21,18,22,249,0,577,
BMU,Bermuda,70,dw,19,0,dw,0,99,
BTN,Bhutan,47,3,11,4153,3,0,4217,
BOL,Bolivia,1098,287,109,38,24,39,1595,
BIH,Bosnia and Herzegovina,642,126,72,65,61,5,971,
BWA,Botswana,39,8,14,13,3,1,78,
BRA,Brazil,9438,551,3489,152,14,168,13812,
BRN,Brunei,13,4,14,0,0,0,31,
BGR,Bulgaria,1445,163,281,50,726,5,2670,
BFA,Burkina Faso,267,38,11,179,144,3,642,
MMR,Burma,777,569,61,11532,125,1,13065,
BDI,Burundi,58,9,11,278,58,1,415,
CPV,Cape Verde,1145,1086,3,4,3,1,2242,
KHM,Cambodia,2239,508,70,63,287,6,3173,
CMR,Cameroon,1936,485,104,701,1664,9,4899,
CAN,Canada,6665,576,5221,73,62,196,12793,
CYM,Cayman Islands,38,8,3,6,0,0,55,
CAF,Central African Republic,26,5,dw,167,dw,0,202,
TCD,Chad,27,6,4,84,15,0,136,
CHL,Chile,1166,81,381,49,3,18,1698,
