citizCountry,temporaryVisitor,studentExchange,temporaryWorker,diplomatRep,other,total,countryNote,
Afghanistan,1116,531,18,644,307,2616,,
Albania,6908,915,303,490,152,8768,,
Algeria,5064,435,176,580,236,6491,,
Andorra,913,36,4,21,0,977,,
Angola,4807,1088,393,451,408,7147,,
Antigua and Barbuda,17749,466,109,257,162,18743,,
Argentina,355504,9839,18105,6050,6283,395781,,
Armenia,3942,609,289,378,194,5412,,
Australia,773221,11581,35384,10351,3463,834000,Includes data for Australian external territories.,
Austria,188136,5034,5773,1876,520,201339,,
Azerbaijan,2557,1487,182,645,67,4938,,
Bahamas,265075,7673,861,899,7664,282172,,
Bahrain,3052,887,33,503,25,4500,,
Bangladesh,10794,2266,915,973,420,15368,,
Barbados,54446,889,747,971,940,57993,,
Belarus,6220,2418,613,226,737,10214,,
Belgium,265307,4555,8279,2946,649,281736,,
Belize,23043,780,394,463,1187,25867,,
Benin,1737,351,78,361,58,2585,,
Bhutan,152,146,16,171,93,578,,
Bolivia,33880,1951,1568,1221,1788,40408,,
Bosnia and Herzegovina,4569,624,203,379,395,6170,,
Botswana,1537,351,68,308,85,2349,,
Brazil,837180,42796,30227,9754,39491,959448,,
Brunei,785,68,41,182,34,1110,,
Bulgaria,22329,7387,2444,925,2786,35871,,
Burkina Faso,1698,595,117,400,52,2862,,
Burma,1590,561,182,182,422,2937,,
Burundi,554,86,21,234,65,960,,
Cambodia,2017,379,43,304,909,3652,,
Cameroon,6695,1076,349,1029,180,9329,,
Canada,55203,50597,164695,5912,15235,291642,,
Cape Verde,2533,97,29,140,119,2918,,
Central African Republic,138,29,13,66,0,253,,
Chad,325,54,33,121,8,541,,
Chile,130367,8014,6498,3893,3904,152676,,
China,512386,164084,30987,6059,16415,729931,Includes data for Hong Kong and Macau.,
Colombia,456778,17675,20052,7597,8969,511071,,
Comoros,19,12,dw,56,2,92,,
Congo (Brazzaville),1891,196,55,497,85,2724,,
Congo (Kinshasa),1009,96,28,241,27,1401,,
Costa Rica,165330,3217,3231,1417,3089,176284,,
Cote d'Ivoire,2996,546,125,416,133,4216,,
Croatia,18935,1720,899,730,4177,26461,,
Cuba,15087,38,99,493,1330,17047,,
Cyprus,7959,1317,353,189,117,9935,,
Czechia,69399,4243,1895,1436,422,77395,,
Denmark,281256,4671,8203,2843,1125,298098,Includes data for the Faroe Islands and Greenland.,
Djibouti,291,19,0,115,12,437,,
Dominica,5092,269,156,97,241,5855,,
Dominican Republic,231861,4508,6627,2222,5150,250368,,
Ecuador,163440,5717,3221,1941,3122,177441,,
Egypt,38687,4537,2292,3572,750,49838,,
El Salvador,133453,2279,1742,1508,2446,141428,,
Equatorial Guinea,287,87,dw,169,10,562,,
Eritrea,644,78,8,62,62,854,,
Estonia,18365,912,501,393,266,20437,,
Ethiopia,9346,1049,335,705,681,12116,,
Fiji,6292,108,108,267,1827,8602,,
Finland,134347,3070,4659,1871,388,144335,,
France,1561568,39617,62329,11757,8101,1683372,Includes data for Overseas France.,
Gabon,1265,395,23,468,19,2170,,
Gambia,1788,199,26,335,46,2394,,
Georgia,2732,1010,299,722,433,5196,,
Germany,1879127,51982,73970,14689,4203,2023971,,
Ghana,18567,2750,962,1123,541,23943,,
Greece,62287,5155,2694,2149,3141,75426,,
Grenada,9824,363,164,170,548,11069,,
Guatemala,192281,2977,5834,1351,2551,204994,,
Guinea,2663,177,74,383,85,3382,,
Guinea-Bissau,31,dw,dw,35,243,316,,
Guyana,22994,338,279,509,1865,25985,,
Haiti,97012,1264,1677,494,3154,103601,,
Vatican City,17,5,dw,100,0,127,,
Honduras,124777,2598,2250,1150,7148,137923,,
Hungary,52808,3613,2399,1017,1100,60937,,
Iceland,32964,1172,813,280,101,35330,,
India,574568,95332,262654,6771,34981,974306,,
Indonesia,47396,8950,2758,3420,17525,80049,,
Iran,11258,2511,331,364,620,15084,,
Iraq,1690,948,94,926,341,3999,,
Ireland,533908,11402,13134,1822,785,561051,,
Israel,323523,11831,17959,7240,2656,363209,,
Italy,977077,20721,25979,8011,5152,1036940,,
Jamaica,216978,9798,15018,1519,9350,252663,,
Japan,3135709,69537,143971,14975,4398,3368590,,
Jordan,18550,3760,806,4078,654,27848,,
Kazakhstan,6779,5614,454,795,114,13756,,
Kenya,14638,3192,1448,1857,308,21443,,
Kiribati,197,10,9,141,807,1164,,
North Korea,15,5,0,0,14,34,,
South Korea,708894,146468,40781,5721,4142,906006,,
Kuwait,19303,4519,150,1077,197,25246,,
Kyrgyzstan,1199,1064,119,353,48,2783,,
Laos,1128,90,19,169,455,1861,,
Latvia,12653,641,352,379,1867,15892,,
Lebanon,20933,2619,1865,1092,385,26894,,
Lesotho,206,56,3,160,9,434,,
Liberia,1117,128,46,330,60,1681,,
Libya,1520,1646,38,460,47,3711,,
Liechtenstein,1632,62,33,54,5,1786,,
Lithuania,17400,1334,476,421,557,20188,,
Luxembourg,12119,290,177,269,23,12878,,
Macedonia,4143,1703,329,472,971,7618,,
Madagascar,584,105,30,277,88,1084,,
Malawi,1104,230,53,379,84,1850,,
Malaysia,52667,6875,4576,1462,830,66410,,
Maldives,93,118,6,67,59,343,,
Mali,3377,537,128,368,54,4464,,
Malta,4908,67,118,110,55,5258,,
Marshall Islands,75,4,0,25,134,238,,
Mauritania,570,69,36,187,93,955,,
Mauritius,2284,237,135,307,448,3411,,
Mexico,6156298,90891,301558,11341,40971,6601059,,
Federated States of Micronesia,62,4,5,35,90,196,,
Moldova,4071,3561,327,254,156,8369,,
Monaco,1177,52,27,42,5,1303,,
Mongolia,5012,2213,215,393,68,7901,,
Morocco,16939,1899,805,1682,666,21991,Includes data for Western Sahara.,
Mozambique,751,118,19,337,63,1288,,
Namibia,1027,177,47,315,47,1613,,
Nauru,53,dw,0,dw,11,76,,
Nepal,9763,4952,1645,730,913,18003,,
Netherlands,713343,9299,19156,5267,13673,760738,Includes data for Aruba and the former Netherlands Antilles.,
